variable,smd_before,smd_after
aps1,0.5059143063509247,-0.0013948867093404014
meanbp1,-0.4483997156410651,-0.007568525686621065
cat1_MOSF w/Sepsis,0.4285927603725602,0.025766361801962786
pafi1,-0.4281742315282124,-0.013978119837810108
neuro_Yes,-0.33533850572786283,-0.1128049528041994
cat1_COPD,-0.3206155429545992,-0.12632884609074038
card_Yes,0.2982030436203596,-0.03180615711266235
crea1,0.2700618632221374,-0.04701915286421917
resp_Yes,-0.2668717098086566,0.04406099029997803
hema1,-0.26403457852590095,-0.08000319459617723
wtkilo1,0.2538140301522791,0.02399903342544633
paco21,-0.2413608884390691,-0.02174598214077632
seps_Yes,0.23914534829198225,0.059480164815073316
alb1,-0.23889143744014832,-0.030669701771921982
dnr1_Yes,-0.22002717728763296,-0.10028573970140638
surv2md1,-0.1992611217710398,-0.09826345620508806
cat1_Coma,-0.1990925274464243,-0.059977447420410605
chrpulhx,-0.18875610809562104,-0.028325376207832945
transhx,0.17391508853767837,0.073721198106811
resp1,-0.16578206683041632,-0.008048639192678654
dementhx,-0.15883601108796225,-0.11571132202800166
bili1,0.14788977207631238,0.006405731465884312
hrt1,0.14717049767408555,0.017247851061082696
psychhx,-0.13899821462465634,-0.08556054113073493
cat1_Cirrhosis,-0.13886199372079155,-0.10883050841131993
ninsclas_Private,0.13693926104008022,0.01936346494674857
income_Under $11k,-0.12471271157907206,0.03331850468582237
gastr_Yes,0.12247835861758988,0.059148213145056194
ph1,-0.1206948385326747,-0.06791335617492522
renal_Yes,0.11955510147167725,0.04440688691987912
cardiohx,0.1169583288995553,-0.040870731843416705
trauma_Yes,0.11090080224278637,0.11382100772078127
scoma1,-0.10850138517695142,-0.02259154451598957
income_$25-$50k,0.10807716419438612,-0.001889369692986597
ca_No,0.10347630680229211,-0.10463930843919923
malighx,-0.10062286167580109,0.10602538702424914
cat1_CHF,0.096705666742738,0.04129335515698104
sex_Male,0.09299888673593626,0.01657478315108502
sod1,-0.09208686720636648,-0.07040499757036357
edu,0.09144829078210284,-0.025550877671081718
cat1_Lung Cancer,-0.0887147764161679,-0.06512407564023126
wblc1,0.08451577962600161,0.02848496270483339
immunhx,0.08074815188598704,-0.025865782385476307
amihx,0.07596266578977942,0.002141424622548266
ninsclas_Medicare,-0.0751611406394647,-0.020222697482889306
ca_Yes,-0.07129547174922479,0.11802976929766633
chfhx,0.06997428818723193,-0.04213086731066147
gibledhx,-0.0688821693666344,-0.046965460792837574
das2d3pc,0.06195688462025343,0.010774776403223307
income_> $50k,0.061143063817117156,-0.013790333397499861
hema_Yes,-0.06088796222381155,-0.015749868171877235
age,-0.060630882294184035,-0.011166863805012207
ninsclas_Medicare & Medicaid,-0.05819653784829597,0.03730101867581138
liverhx,-0.048456295831313494,-0.043476355947467335
ninsclas_No insurance,0.042969993257915826,0.03721006504551105
cat1_Colon Cancer,-0.03527827700609362,-0.014056927236263674
ninsclas_Private & Medicare,0.03472150141169214,0.022537697056224857
renalhx,0.03189562524226287,-0.09904144117891683
ortho_Yes,0.028256587039633022,0.02392397754522682
meta_Yes,-0.027885682699731136,-0.03652810810339852
pot1,-0.026975298528665582,-0.007917814274929389
temp1,-0.02149597756633764,0.0228028024244094
race_other,0.02089259838993013,-0.004679526095599409
cat1_MOSF w/Malignancy,0.017590594809917193,0.070964957250072
race_white,0.015194418093528787,-0.003961879038005372
